전경련BSI,주택매매가격,건설BSI(전망),"실업률(계절조정,%)",어음부도율,일별수출액YoY,내국인출국자수YoY,코스피 200 변동성지수,통안채 364일,공사채 AAA 3년,은행채 AAA 3년,국고채5년 - CD,국고채10년 - 통안채1년,은행채AAA3년 - 국고채3년,회사채AA-3년 - 국고채3년,내국인출국자수,한국(OECD),GDP서비스업,설비투자,건설투자,재화수출,내수,GDP디플레이터,총저축률,총투자율,Reuter CRB(EW)상품선물지수,Reuter CRB(EW)에너지지수,Reuter CRB(EW)산업지수,Reuter CRB(EW)귀금속지수,코스피지수
98.7,85.51,110.8,3.6,0.02,-22.1,-29.2,23.97,3.52,5,5.17,2.15,1.91,0.79,1.22,576416,9.08,1.3,5,2.1,5.7,2.7,3.7,33.5,26.7,452.7,662.3,414.1,814.1,1390.1
99.8,85.73,90.1,3.5,0.02,-22.64,-13.11,22.85,3.14,5.05,5.2,1.82,2.11,0.81,1.1,631132,9.77,1.4,8.1,2.1,5.7,1.3,3.7,33.5,31.3,479.2,678.9,447.2,915.7,1557.3
117,85.85,83.6,3.7,0.04,-15.03,-11.33,25.41,3.52,5.11,5.22,2.06,1.87,0.78,1.08,640169,10.24,1.4,8.1,2.1,5.7,1.3,3.7,33.5,31.3,484.4,692.7,461.6,867.6,1591.9
116.5,85.96,74.8,3.6,0.03,-4.48,-21.85,21.94,3.29,4.8,4.87,1.94,2.05,0.77,1.11,801851,10.44,1.4,8.1,-1.1,2.3,1.3,2.5,32.6,31.3,465.3,637.6,424.4,859.2,1673.1
109,86.21,91.4,4.7,0.03,15.29,-25.33,20.35,3.12,5.12,5.18,1.74,2.02,0.77,1.12,1030400,10.29,1,7.3,-1.1,2.3,1.6,2.5,32.6,30.8,478.3,690.6,475.3,881.3,1580.7
105.9,86.43,88.9,4.1,0.03,32.79,2.35,23.29,2.72,4.9,4.91,1.74,2.23,0.64,1.06,828037,9.77,1,7.3,-1.1,2.3,1.6,2.5,32.6,30.8,467.3,732.2,491.9,918,1555.6
103.1,86.59,85.5,3.7,0.02,38.97,37.04,20.59,2.68,4.58,4.62,1.82,2.14,0.52,0.93,863958,8.91,1,7.3,0,-0.6,1.6,3.2,34.3,30.8,481.1,772.2,477,973.5,1682.8
102.3,86.63,74.1,3.6,0.03,39.61,41.56,17.68,2.9,4.23,4.26,1.91,2.03,0.37,0.69,850874,7.82,1.5,4.8,0,-0.6,1.5,3.2,34.3,32.7,458.7,657.9,454.2,941.7,1602.4
116.2,86.64,69.6,3.3,0.03,33.77,22.2,18.27,3.13,4.13,4.12,1.98,1.82,0.51,0.63,932517,6.69,1.5,4.8,0,-0.6,1.5,3.2,34.3,32.7,471.4,661.7,436.5,952.1,1594.6
111.2,86.56,58.4,3.5,0.04,29.59,39.56,24.01,3.14,4.4,4.38,1.75,1.7,0.8,1.08,910832,5.6,1.5,4.8,-0.3,9.6,1.5,3.1,35.6,32.7,499.1,683.9,463.7,931.5,1692.9
113.4,86.52,55.9,3.8,0.03,43.02,30.22,21.9,3.2,4.46,4.47,1.34,1.18,0.61,0.97,1132334,4.64,0.5,4.9,-0.3,9.6,0.1,3.1,35.6,30.6,496.7,639.2,490.7,962,1741.6
108.9,86.6,71.5,3.5,0.04,33.38,42.75,19.26,2.9,4.37,4.34,1.05,1.21,0.54,0.92,1140239,3.79,0.5,4.9,-0.3,9.6,0.1,3.1,35.6,30.6,536.1,706.7,555.8,1044.4,1641.3
